comic_name,active_years,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Imprint,Format,Rating,Price
A Year of Marvels: June Infinite Comic (2016),(2016),A Year of Marvels: June Infinite Comic (2016) #1,"June 15, 2016","Sam Alexander’s finding it hard to cope with the fact that his dad is M.I.A. in the far reaches of space. Luckily, this Father’s Day, Nova’s got the chance to help former New Warrior Midnight’s Fire put his family back together. But when Iron Man shows up to inform his young teammate he’s backing the wrong horse, will Nova cool his jets?",Diego Olortegui,Paul Allor,Jamal Campbell, Marvel Universe, Infinite Comic,, Free
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #17,"February 19, 2014",SPIDER-MAN + PSYLOCKE= a heart-breaking story from their past! Part 5 of the CAPTAIN AMERICA + CYCLOPS story by Gerry Duggan (DEADPOOL) and David Yardin (X-FACTOR).,"Paco Diaz, David Yardin","Gerry Duggan, Jeff Loveness",Goran Parlov,, Comic, Rated T, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #15,"December 11, 2013","Dr. Strange + Beast = a truly insane story by Dream Thief creators JAI NITZ and GREG SMALLWOOD! Part 3 of the Captain America + Cyclops story by Gerry Duggan (DEADPOOL) and David Yardin (X-FACTOR, Injustice).",Greg Smallwood,"Jai Nitz, Gerry Duggan",,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #14,"November 20, 2013",CAPTAIN AMERICA + CYCLOPS continue their quest to root out Cadre K! Plus: Two former villains...SUPERIOR SPIDER-MAN + MAGNETO! Max Bemis of the band Say Anything makes his Marvel Comics writing debut!,David Lafuente,Gerry Duggan,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #8,"May 22, 2013",Captain America and Wolverine fight a villain unlike any you've ever seen! Deadpool and Hawkeye do not see eye-to-eye!,Humberto Ramos,Nathan Edmondson,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #7,"April 24, 2013","Artist Stefano Casseli (AVENGERS ASSEMBLE) and Mike Costa (G.I.: JOE: Cobra) show you the ever-loving blue-eyed Thing and the ever-lusting red-eyed Gambit playing the most dangerous game! Thor and Iceman teamup in one of the most visually amazing tales you've ever seen, courtesy of Christopher Yost (AVENGING SPIDER-MAN) and superstar artists-to be R'John Bernales and Chris Turcotte!",Stefano Caselli,Christopher Yost,,, Comic,, $3.99
A+X (2012 - 2014),(2012 - 2014),A+X (2012) #5,"March 06, 2013",Zeb Wells and Dale Keown spin a story bringing Iron Man and Beast together! Kathryn Immonen and David Lafuente tell the tale of Iron Fist and Doop's first adventure!,David Lafuente,"Zeb Wells, Kathryn Immonen",,, Comic,, $3.99
A-Babies Vs. X-Babies (2012),(2012),A-Babies Vs. X-Babies (2012) #1,"October 24, 2012",Who will live? Who will die? Who will get diaper rash? Find out as the X-Babies face the A-Babies in the tie-in to end all tie-ins! Which side will crawl away victorious?,Skottie Young,Skottie Young,,, Comic,, $2.99
A-Force (2016),(2016),A-Force (2016) #9,"September 14, 2016","CIVIL WAR II TIE-IN! The fates of NICO MINORU, a mysterious missing girl named Alice, and a small town in Colorado are all tied together as CIVIL WAR II heats up and threatens to tear A-FORCE apart. The team, with ELSA BLOODSTONE in foul-mouthed tow, splits up to hunt down the apparent source of the trouble in the hopes of saving the town. However, it soon becomes apparent that all is not what it seems with the team - A-Force is changing - and by morning there may not be anyone left to save the day.",Paulo Siqueira,Kelly Thompson,Paulo Siqueira,, Comic,, $3.99
A-Force (2016),(2016),A-Force (2016) #8,"August 10, 2016","CIVIL WAR II TIE-IN! NEW SERIES ARTIST PAULO SIQUEIRA STARTS HERE! Civil War has come to A-FORCE! As the team is wrecked by a personal tragedy things only get worse when a predictive vision proclaims one of A-FORCE is a murderer. CAPTAIN MARVEL attempts an arrest, creating a rift that may very well mean the end of the team, and setting in motion a chain of devastating events that affect far more than just A-FORCE. Meanwhile foul-mouthed, gun-toting ELSA BLOODSTONE just unofficially joined A-Force. Looks like we're gonna need a bigger boat...and a verrrrry big black censor bar.",Paulo Siqueira,Kelly Thompson,Paulo Siqueira,, Comic,, $3.99
